Timestamp,COMP_SCI 110: Intro to Computer Programming,COMP_SCI 111: Fundamentals of Computer Programming I,COMP_SCI 150: Fundamentals of Computer Programming 1.5,COMP_ENG 203: Intro to Computer Engineering,COMP_ENG 205: Fundamentals of Computer System Software,COMP_SCI 211: Fundamentals of Computer Programming II,COMP_SCI 212: Mathematical Foundations of Computer Science,COMP_SCI 213: Intro to Computer Systems,COMP_SCI 214: Data Structures and Algorithms,COMP_SCI 217: Data Management and Information Processing,COMP_SCI 301: Introduction to Robotics Laboratory,"COMP_SCI 315, 415: Design, Technology, and Research",COMP_SCI 321: Programming Languages,COMP_SCI 322: Compiler Construction,COMP_SCI 329: HCI Studio,COMP_SCI 336: Design & Analysis of Algorithms,COMP_SCI 339: Intro to Databases,COMP_SCI 340: Introduction to Computer Networking,COMP_ENG 346: Microprocessor System Design,COMP_SCI 348: Intro to Artificial Intelligence,COMP_SCI 349: Machine Learning,COMP_SCI 351-1: Intro to Computer Graphics,COMP_SCI 354: Computer System Security,COMP_ENG 362: Computer Architecture Project,COMP_SCI 371: Knowledge Representation and Reasoning,COMP_SCI 377: Game Development Studio,COMP_SCI 388: Software Engineering Beyond Programming,COMP_SCI 394: Agile Software Development,"COMP_SCI 396, 496: Artificial Life",COMP_SCI 396: Introduction to Computational Linguistics,COMP_SCI 396: Full Stack Software Engineering,COMP_SCI 396: Responsible Software Engineering,"COMP_SCI 396, 496: Data Management Seminar","COMP_SCI 396, 496: Foundations of Quantum Computing and Quantum Information","COMP_SCI 396, 496: Programming Languages Seminar","COMP_SCI 396, 496: NUVention Media","COMP_SCI 396, 496: CS Education Research in the Community","COMP_SCI 396, 496: Computing, Ethics, and Society",COMP_SCI 397: Computer Science Education,"COMP_SCI 397, 497: Multimodal learning analytics and interaction analysis","COMP_SCI 397, 497: (Special Topics) Innovation in Journalism & Technology",COMP_SCI 445: Internet-scale Experimentation,COMP_SCI 449: Deep Learning,COMP_SCI 450: Internet Security,COMP_ENG 452: Advanced Computer Architecture I,COMP_SCI 496: Generative Deep Models,COMP_SCI 496: Advanced Topics in Modern Cryptography,COMP_SCI 497: Explanation and reproducibility in data-driven science,UniqueID
11/22/23 15:17,2,2,3,,2,3,3,2,3,2,2,2,3,3,2,3,2,1,1,2,2,2,2,2,2,2,2,2,2,2,3,1,1,2,2,2,1,1,2,2,1,1,2,1,2,2,2,2,FAIR-02616
11/22/23 15:19,5,4,3,2,3,4,3,4,4,1,1,1,2,2,3,5,4,5,1,5,2,1,5,2,4,1,4,3,3,1,5,2,1,4,1,1,5,5,5,1,1,3,2,5,3,1,4,3,FAIR-02617
11/22/23 15:36,1,3,1,1,1,3,1,3,5,1,1,4,4,3,2,1,3,1,5,3,4,3,3,1,1,5,1,5,1,1,5,5,1,1,1,1,5,5,4,1,3,4,1,3,4,2,2,2,FAIR-02618
11/22/23 16:30,1,4,3,4,4,3,1,3,4,2,5,5,4,4,2,4,4,4,3,5,5,5,3,5,5,5,4,3,5,5,4,2,3,3,3,3,3,2,2,4,2,4,5,5,4,5,5,5,FAIR-02619
11/22/23 16:46,,,,,,,3,,,,,,,,,,,,,,4,4,,,,5,,,,,,,,,,,,,,,,,,,,,,,FAIR-02620
11/22/23 17:24,1,4,2,4,4,4,5,5,4,3,5,2,3,1,3,4,3,3,3,5,5,4,5,3,3,5,4,5,4,4,5,5,3,3,3,3,3,3,3,3,3,3,5,5,3,5,5,3,FAIR-02621
11/22/23 17:44,2,2,5,3,5,5,5,4,5,4,2,2,4,1,4,4,5,4,2,5,4,3,4,2,3,3,4,3,4,1,3,2,5,4,3,4,1,1,1,4,2,2,4,3,1,3,3,2,FAIR-02622
11/22/23 17:57,,,,,,,,,,,,,,,,,,3,,,3,,,,,,,,,,2,,,,,2,,,,,,,,,,,,,FAIR-02623
11/22/23 18:18,,,,,,,,,,,3,5,2,1,,4,3,2,1,1,5,3,1,1,3,3,2,5,2,2,4,4,2,1,,,4,3,4,5,4,5,4,,,,,,FAIR-02624 
11/22/23 20:57,2,,,3,3,,,,,4,2,2,5,4,3,4,4,3,2,4,4,5,3,,2,4,3,4,3,3,4,3,3,4,3,2,3,3,3,3,3,3,4,3,2,4,3,3,FAIR-02625
11/22/23 21:34,4,3,5,5,5,5,4,5,5,5,5,5,5,5,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,FAIR-02626
11/23/23 0:38,,2,,,,3,2,3,3,,1,1,2,2,3,3,2,2,2,1,3,1,3,2,3,2,2,2,3,3,3,,,3,,,,1,,2,,,3,3,2,2,3,,FAIR-02627
11/23/23 1:15,1,1,1,2,2,2,1,2,2,2,2,1,2,3,2,2,2,2,3,1,1,3,3,3,1,2,1,1,1,2,3,1,1,3,1,1,1,1,1,1,1,2,1,3,3,1,2,1,FAIR-02628
11/23/23 4:28,,,,,,,,,,2,1,2,,,5,,,4,,5,,3,3,,,4,,4,,5,5,,,3,,,,,,,,,,,,,,,FAIR-02629
11/23/23 11:08,3,5,5,4,3,5,1,4,5,3,4,4,4,3,5,3,3,3,3,5,5,5,3,3,3,5,5,5,5,3,5,5,3,3,3,3,3,3,3,3,4,3,5,3,3,3,3,3,FAIR-02630
11/23/23 12:24,1,1,1,1,1,1,1,1,3,3,5,5,1,1,5,3,3,3,5,5,5,4,3,1,1,5,1,5,5,5,2,1,1,5,1,3,2,5,2,5,5,5,5,5,5,5,5,5,FAIR-02631
11/23/23 14:57,1,5,2,4,4,4,4,3,2,1,5,5,5,3,5,5,2,4,5,4,5,5,2,5,2,5,5,5,5,5,4,5,1,5,5,5,2,3,1,4,2,3,5,2,4,4,5,1,FAIR-02632
11/23/23 17:47,4,3,4,4,4,3,2,4,2,,5,3,1,,3,,2,3,3,3,2,5,4,,,4,,2,3,1,,,,,1,,2,3,1,,,,,4,,,3,,FAIR-02633
11/23/23 22:04,,,,2,,,,,,,,,,5,3,,,,4,,,2,3,,,,2,,,,2,1,,,4,,,,,,,2,3,,,,,,FAIR-02634
11/24/23 13:53,2,2,2,1,3,3,4,3,4,4,2,5,3,2,2,4,4,3,1,5,4,2,2,2,4,3,4,3,5,5,2,2,2,2,2,2,3,3,2,3,1,3,5,2,2,5,3,4,FAIR-02635
11/24/23 18:01,,,,1,1,,1,,,2,4,5,1,1,5,2,3,1,1,5,5,1,1,1,1,5,4,4,4,4,3,3,3,1,1,3,2,4,4,1,2,,3,,1,1,1,1,FAIR-02636
11/24/23 22:51,1,1,1,1,1,1,3,2,4,3,2,2,1,1,1,3,3,3,2,5,5,2,3,2,3,1,1,4,3,3,4,2,1,2,1,1,1,1,1,1,1,3,5,2,1,5,3,5,FAIR-02637
11/25/23 1:37,,,,3,2,,,,,3,,,2,2,5,,2,2,4,,,3,3,,3,5,4,5,3,5,5,4,3,2,1,,3,5,3,2,2,3,5,3,2,3,2,2,FAIR-02638
11/25/23 2:02,,,,,,,1,1,,5,,2,2,,4,2,1,,,5,3,,2,,1,1,1,5,4,2,5,2,,,,3,,2,,,4,3,3,3,,,,,FAIR-02639
11/25/23 13:29,3,3,3,2,2,3,2,2,4,2,,5,1,,4,4,2,2,1,4,4,5,1,1,5,5,5,5,5,1,5,5,2,1,1,1,5,5,1,5,5,2,5,2,2,5,1,1,FAIR-02640
11/25/23 13:47,,3,2,4,4,3,5,4,4,1,4,4,3,5,4,4,3,4,3,2,5,4,2,2,2,3,2,4,5,5,4,2,4,5,4,5,3,3,3,5,5,4,5,4,3,3,4,5,FAIR-02641
11/26/23 9:53,,,,2,3,4,2,4,4,3,4,3,4,2,2,3,4,4,2,5,5,3,4,3,2,4,4,2,5,3,5,4,1,4,1,2,2,2,2,3,2,2,5,4,4,5,4,3,FAIR-02642
11/26/23 11:37,1,4,,,,3,2,4,4,,,3,3,,,2,4,3,,,5,,,,,3,4,4,,,5,,,,,,,,,,,,,,,,,,FAIR-02643
11/26/23 12:38,1,,,,,,,,,,,,1,1,2,,1,,,5,3,2,,,,4,,5,5,,5,3,,,,,,3,,,,,,,,,,,FAIR-02644
11/26/23 23:08,3,4,5,2,3,5,3,5,5,3,,2,4,3,3,5,5,5,2,4,4,3,2,2,2,2,3,4,2,2,4,3,3,3,3,,,,,,,,,,,,,,FAIR-02645
11/27/23 0:26,,,,,,,,,,,,,,,,,,,,,4,,,,,,4,4,,4,,4,,,,,,,,,,,,,,,,,FAIR-02646
11/27/23 14:01,,,,2,2,,2,,,2,4,4,3,2,2,4,4,2,,4,4,2,3,3,,,5,4,2,1,5,3,,,,,,,,,,,4,,4,4,2,,FAIR-02649
11/27/23 14:01,2,2,1,4,2,2,1,3,4,3,5,1,2,3,1,1,4,4,5,5,5,5,4,1,1,3,1,1,5,5,3,1,1,3,1,1,1,1,1,1,3,1,5,4,1,5,5,2,FAIR-02648
11/27/23 14:07,3,5,5,3,1,2,2,2,2,1,1,4,3,1,5,3,4,1,1,5,5,1,1,1,3,1,5,5,5,5,5,5,3,3,3,4,4,4,5,2,2,3,3,3,1,3,1,4,FAIR-02650
11/27/23 14:24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,2,,,,5,,,FAIR-02651
11/27/23 14:40,,,,,,,,,,3,,,3,3,,,2,,,,5,,,,,,4,,,4,,,,,,,,5,,,,5,5,,,5,,5,FAIR-02652
11/27/23 14:56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,FAIR-02653
11/27/23 15:06,,,,,,,,,,,2,1,2,1,2,1,1,1,,,5,2,1,,1,3,2,2,1,1,2,1,1,1,1,1,1,1,1,1,1,2,5,2,,5,1,3,FAIR-02654
11/27/23 15:55,,,,,,,,,,,,,,,,,3,,,4,,,,,,2,,,3,,,,,,,,,,,,,,,,,,,,FAIR-02655 
11/27/23 16:07,2,2,2,2,2,2,3,3,3,1,2,3,2,5,1,3,1,5,3,2,5,2,3,2,1,4,1,3,1,1,1,1,1,5,1,1,1,1,1,1,1,1,5,4,1,5,1,1,FAIR-02656
11/27/23 16:31,1,1,1,1,1,1,2,1,2,1,3,4,2,2,3,4,3,4,2,2,3,3,3,2,4,4,2,3,1,3,3,2,2,4,2,2,2,2,2,2,2,4,5,4,,5,5,3,FAIR-02657
11/27/23 16:53,,,,,,,,,,,,2,,,2,,,,2,,,,4,1,,4,5,4,4,1,5,4,,3,,,,1,,2,2,3,4,4,,3,,,3210758
11/27/23 19:18,1,1,1,3,4,1,5,5,1,4,4,5,4,2,5,5,4,3,3,1,5,3,5,3,2,4,5,5,4,3,5,5,4,3,3,3,5,5,5,2,2,3,5,5,3,4,3,4,FAIR-02658
11/27/23 20:49,3,3,3,3,4,3,4,5,5,5,5,3,3,3,5,3,5,3,3,5,5,5,2,3,5,2,3,2,5,2,2,2,2,2,2,2,3,2,2,2,3,2,5,2,2,5,2,2,FAIR-02659
